epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,8668.72,0.72867,0.45686,1.12563,1,0.91856,0.96291,0.75501,1.02497,0.47913,1.44918,0.0003368,0.0003368,0.0003368
170,8719.52,0.73265,0.45557,1.12414,1,0.91799,0.97064,0.75589,1.0307,0.49094,1.50099,0.0003269,0.0003269,0.0003269
171,8770.29,0.73038,0.44948,1.12073,1,0.91737,0.98673,0.76389,1.02848,0.52325,1.47055,0.000317,0.000317,0.000317
172,8821.06,0.74989,0.47223,1.12759,1,0.91827,0.98788,0.77006,1.02312,0.49684,1.47833,0.0003071,0.0003071,0.0003071
173,8871.83,0.71498,0.45467,1.11995,1,0.95041,0.98948,0.76164,1.06505,0.52695,1.53724,0.0002972,0.0002972,0.0002972
174,8922.66,0.7544,0.46539,1.13803,1,0.95225,0.98064,0.77402,1.01961,0.5066,1.45441,0.0002873,0.0002873,0.0002873
175,8973.43,0.71664,0.45394,1.11471,1,0.9549,0.99071,0.77537,1.00325,0.48976,1.44994,0.0002774,0.0002774,0.0002774
176,9024.19,0.70666,0.4456,1.10454,0.9965,0.92,0.99044,0.76286,1.05726,0.53047,1.5507,0.0002675,0.0002675,0.0002675
177,9074.97,0.70464,0.44149,1.09668,0.95974,0.95384,0.99192,0.77347,1.03537,0.48778,1.50227,0.0002576,0.0002576,0.0002576
178,9125.76,0.71604,0.45433,1.10927,1,0.91908,0.98788,0.75326,1.01804,0.49315,1.4791,0.0002477,0.0002477,0.0002477
179,9176.56,0.70353,0.44775,1.10296,0.99656,0.92,0.98133,0.76347,1.0004,0.44262,1.42871,0.0002378,0.0002378,0.0002378
180,9227.37,0.70233,0.45523,1.10345,0.99777,0.92,0.98197,0.74974,1.03437,0.52507,1.45255,0.0002279,0.0002279,0.0002279
181,9278.15,0.70172,0.45316,1.10568,0.99656,0.92,0.98049,0.7588,1.08589,0.50434,1.57201,0.000218,0.000218,0.000218
182,9328.96,0.71282,0.45399,1.1064,1,0.95703,0.96611,0.74094,1.01915,0.49508,1.47733,0.0002081,0.0002081,0.0002081
